,county,year,enery
219,Grand,2012,
220,Grand,2013,9159.0078125
221,Grand,2014,
222,Grand,2015,
223,Grand,2016,
224,Gunnison,1997,
225,Gunnison,1999,
226,Gunnison,2005,
227,Gunnison,2006,
228,Gunnison,2007,
229,Gunnison,2008,
230,Gunnison,2009,9020.8056640625
231,Gunnison,2010,
232,Gunnison,2011,
233,Gunnison,2012,
234,Gunnison,2013,
235,Gunnison,2014,
236,Gunnison,2015,
237,Gunnison,2016,
238,Jefferson,1997,27250.888671875
239,Jefferson,1999,
240,Jefferson,2005,16657.021484375
241,Jefferson,2006,
242,Jefferson,2007,26303.103515625
243,Jefferson,2008,4604417.0
244,Jefferson,2009,862117.4375
245,Jefferson,2010,3856916.5
246,Jefferson,2011,5331188.0
247,Jefferson,2012,4841171.5
248,Jefferson,2013,108387.234375
249,Jefferson,2014,390998.59375
250,Jefferson,2015,
251,Jefferson,2016,
252,Lake,1997,
253,Lake,1999,
254,Lake,2005,
255,Lake,2006,
256,Lake,2007,
257,Lake,2008,
258,Lake,2009,
259,Lake,2010,
260,Lake,2011,
261,Lake,2012,193957.640625
262,Lake,2013,
263,Lake,2014,
264,Lake,2015,
265,Lake,2016,5510.16015625
266,Larimer,1997,
267,Larimer,1999,2663.648193359375
268,Larimer,2005,
269,Larimer,2006,
270,Larimer,2007,
271,Larimer,2008,27337.353515625
272,Larimer,2009,192080.671875
273,Larimer,2010,17994476.0
274,Larimer,2011,19902.447265625
275,Larimer,2012,220816.4375
276,Larimer,2013,35959.25390625
277,Larimer,2014,166411.421875
278,Larimer,2015,1838499.875
279,Larimer,2016,
280,Mesa,1997,
281,Mesa,1999,
282,Mesa,2005,
283,Mesa,2006,
284,Mesa,2007,68875.7734375
285,Mesa,2008,42166.34765625
286,Mesa,2009,
287,Mesa,2010,
288,Mesa,2011,462434.1875
289,Mesa,2012,1645647.75
290,Mesa,2013,546165.0
291,Mesa,2014,
292,Mesa,2015,
293,Mesa,2016,
294,Montrose,1997,
295,Montrose,1999,
296,Montrose,2005,
297,Montrose,2006,
298,Montrose,2007,
299,Montrose,2008,46533.84765625
300,Montrose,2009,18850.921875
301,Montrose,2010,
302,Montrose,2011,
303,Montrose,2012,1961892.125
304,Montrose,2013,10053.8251953125
305,Montrose,2014,
306,Montrose,2015,
307,Montrose,2016,
308,Ouray,1997,
309,Ouray,1999,
310,Ouray,2005,
311,Ouray,2006,
312,Ouray,2007,
313,Ouray,2008,13574.0849609375
314,Ouray,2009,50472.8984375
315,Ouray,2010,
316,Ouray,2011,
317,Ouray,2012,
318,Ouray,2013,
319,Ouray,2014,
320,Ouray,2015,
321,Ouray,2016,
322,Park,1997,
323,Park,1999,
324,Park,2005,
325,Park,2006,
326,Park,2007,
327,Park,2008,
328,Park,2009,
329,Park,2010,
330,Park,2011,
331,Park,2012,16846.021484375
332,Park,2013,
333,Park,2014,
334,Park,2015,
335,Park,2016,
336,Pueblo,1997,
337,Pueblo,1999,
338,Pueblo,2005,
339,Pueblo,2006,
340,Pueblo,2007,11083.013671875
341,Pueblo,2008,
342,Pueblo,2009,1787582.875
343,Pueblo,2010,
344,Pueblo,2011,
345,Pueblo,2012,24454.1328125
346,Pueblo,2013,13728.6357421875
347,Pueblo,2014,
348,Pueblo,2015,
349,Pueblo,2016,
350,Rio Blanco,1997,
351,Rio Blanco,1999,
352,Rio Blanco,2005,
353,Rio Blanco,2006,
354,Rio Blanco,2007,
355,Rio Blanco,2008,
356,Rio Blanco,2009,8784.498046875
357,Rio Blanco,2010,
358,Rio Blanco,2011,
359,Rio Blanco,2012,
360,Rio Blanco,2013,
361,Rio Blanco,2014,
362,Rio Blanco,2015,
363,Rio Blanco,2016,
364,Rio Grande,1997,
365,Rio Grande,1999,
366,Rio Grande,2005,
367,Rio Grande,2006,
368,Rio Grande,2007,
369,Rio Grande,2008,5206.58349609375
370,Rio Grande,2009,
371,Rio Grande,2010,
372,Rio Grande,2011,
373,Rio Grande,2012,
374,Rio Grande,2013,
375,Rio Grande,2014,
376,Rio Grande,2015,
377,Rio Grande,2016,
378,Routt,1997,
379,Routt,1999,
380,Routt,2005,
381,Routt,2006,
382,Routt,2007,
383,Routt,2008,
384,Routt,2009,18405.5234375
385,Routt,2010,
386,Routt,2011,
387,Routt,2012,
388,Routt,2013,
389,Routt,2014,
390,Routt,2015,
391,Routt,2016,
392,Saguache,1997,
