	_id	cost	date_installed	size_kw	state	zipcode
89	5195dea727a49b118700e4e4	26145.6	1357542000	6.24	CO	80129
90	5195dea727a49b118700e528	18477.9	1357542000	4.41	CO	81507
91	5195dea727a49b118700e529	27716.85	1357542000	6.615	CO	81504
92	5195de9127a49b118700e3d0	66676.07	1357196400	13.92	CO	81507
93	5195dea727a49b118700e4e0	18100.8	1357196400	4.32	CO	80205
94	5195dea727a49b118700e4e1	39218.4	1357196400	9.36	CO	80127
95	5195dea727a49b118700e524	33897.1	1357196400	8.09	CO	80123
96	5195dea727a49b118700e525	20531.0	1357196400	4.9	CO	80540
97	5195dea727a49b118700e526	16008.0	1357196400	3.68	CO	80127
98	5195dea727a49b118700e527	24637.2	1357196400	5.88	CO	81520
99	5195dea727a49b118700e4df	48120.0	1357023600	12.0	CO	81520
100	5195dea727a49b118700e523	21578.5	1357023600	5.15	CO	81503
101	5195dea727a49b118700e522	22584.1	1356591600	5.39	CO	80126
102	5195dea727a49b118700e4dc	25140.0	1356073200	6.0	CO	80130
103	518ec6d427a49b118700e30d		1355986800	1124.0	CO	81411
104	5195dea727a49b118700e4d9	28156.8	1355986800	6.72	CO	80016
105	5195dea727a49b118700e4da	20112.0	1355986800	4.8	CO	80124
106	5195dea727a49b118700e51e	20531.0	1355986800	4.9	CO	80228
107	5195dea727a49b118700e4d8	31173.6	1355900400	7.44	CO	80111
108	5195dea727a49b118700e51c	17472.3	1355900400	4.17	CO	81504
109	5195dea727a49b118700e51b	35908.3	1355814000	8.57	CO	80123
110	5195dea727a49b118700e4d6	17095.2	1355468400	4.08	CO	80126
111	5195dea727a49b118700e51a	32849.6	1355468400	7.84	CO	81501
112	5195dea727a49b118700e4d5	19106.4	1355209200	4.56	CO	81505
113	5195dea727a49b118700e519	19525.4	1355209200	4.66	CO	80020
114	5195dea727a49b118700e4d3	11484.0	1354863600	2.64	CO	80212
115	5195dea727a49b118700e4d4	40224.0	1354863600	9.6	CO	80226
116	5195dea727a49b118700e4d1	9396.0	1354690800	2.16	CO	80130
117	5195dea727a49b118700e4d2	16704.0	1354690800	3.84	CO	80031
118	5195dea727a49b118700e4d0	26145.6	1354604400	6.24	CO	81507
119	5195dea727a49b118700e4cf	22123.2	1354518000	5.28	CO	80124
120	5195dea727a49b118700e4ce	24134.4	1354172400	5.76	CO	80602
121	5195dea727a49b118700e4cd	24134.4	1354086000	5.76	CO	81503
122	5195dea727a49b118700e4cb	23128.8	1353913200	5.52	CO	80010
123	5195dea727a49b118700e4cc	14616.0	1353913200	3.36	CO	81507
124	5195de8927a49b118700e3b9	21336.72	1353654000	5.76	CO	80124
125	5195dea727a49b118700e4c9	39218.4	1353049200	9.36	CO	81507
126	5195dea727a49b118700e4c8	39218.4	1352876400	9.36	CO	81503
127	5195dea727a49b118700e4c6	27151.2	1352790000	6.48	CO	80026
128	5195dea727a49b118700e4c3	26145.6	1352444400	6.24	CO	81521
129	5195dea727a49b118700e4c4	26145.6	1352444400	6.24	CO	81520
130	5195dea727a49b118700e4c2	37207.2	1352358000	8.88	CO	81503
131	5195dea727a49b118700e4c0	20112.0	1352271600	4.8	CO	81505
132	5195dea427a49b118700e4be	15660.0	1351749600	3.6	CO	81521
133	5195dea327a49b118700e4bd	16704.0	1351663200	3.84	CO	81504
134	5195de9e27a49b118700e4ba	26145.6	1351576800	6.24	CO	80016
135	5195dea127a49b118700e4bb	24134.4	1351576800	5.76	CO	81526
136	5195dea227a49b118700e4bc	18477.9	1351576800	4.41	CO	81507
137	5195de9e27a49b118700e4b9	41229.6	1351231200	9.84	CO	81504
138	5195de9d27a49b118700e4b8	35196.0	1351144800	8.4	CO	80031
139	5195de9d27a49b118700e4b7	26145.6	1350799200	6.24	CO	81505
140	5195de9b27a49b118700e4b5	40224.0	1350540000	9.6	CO	81507
141	5195de9b27a49b118700e4b3	22123.2	1350453600	5.28	CO	80128
142	5195de9b27a49b118700e4b4	40224.0	1350453600	9.6	CO	81503
143	5195de9b27a49b118700e4b1	26145.6	1350367200	6.24	CO	81505
144	51098bf927a49b2192015b1c		1350194400	9.36	CO	80129
145	51098bf927a49b2192015b1d		1350194400	9.84	CO	80129
146	51098bf927a49b2192015b51		1350108000	7.92	CO	80222
147	51098bf927a49b2192015a5c		1350021600	8.64	CO	80011
148	51098bf927a49b2192015a64		1350021600	2.88	CO	80012
149	51098bf927a49b2192015a65		1350021600	4.16	CO	80012
150	51098bf927a49b2192015a93		1350021600	9.6	CO	80016
151	51098bf927a49b2192015ac2		1350021600	9.36	CO	80026
152	51098bf927a49b2192015ad7		1350021600	7.68	CO	80112
153	51098bf927a49b2192015ae2		1350021600	8.64	CO	80122
154	51098bf927a49b2192015b11		1350021600	5.76	CO	80128
155	51098bf927a49b2192015b6b		1350021600	3.6	CO	80232
156	51098bf927a49b2192015b83		1350021600	7.2	CO	80238
157	5195de9b27a49b118700e4ae	28156.8	1350021600	6.72	CO	81526
158	5195de9b27a49b118700e4af	10440.0	1350021600	2.4	CO	80209
159	5195de9b27a49b118700e4b0	26145.6	1350021600	6.24	CO	80126
160	51098bf927a49b2192015ada		1349935200	8.64	CO	80120
161	51098bf927a49b2192015aff		1349935200	5.04	CO	80126
162	51098bf927a49b2192015b00		1349935200	9.36	CO	80126
163	51098bf927a49b2192015b8d		1349935200	6.0	CO	80241
164	51098bf927a49b2192015bab		1349935200	7.2	CO	80403
165	51098bf927a49b2192015be9		1349935200	9.36	CO	80602
166	51098bf927a49b2192015c2c		1349935200	4.8	CO	80634
167	51098bf927a49b2192015c2d		1349935200	9.6	CO	80634
168	51098bf927a49b2192015afe		1349848800	9.36	CO	80126
169	51098bf927a49b2192015ba0		1349848800	5.76	CO	80305
170	5195de9b27a49b118700e4ab	16704.0	1349848800	3.84	CO	81521
